CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               100.1MiB / 2GiB       4.89%               903kB / 741kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   2.18%               76.15MiB / 2GiB       3.72%               5.03MB / 5.15MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        3.80%               40.96MiB / 7.237GiB   0.55%               3.82MB / 4.09MB     49.4MB / 4.58MB     12
792281940d0d        peer0.org1.example.com                        7.16%               42.83MiB / 7.237GiB   0.58%               15.1MB / 17.2MB     4.68MB / 4.58MB     12
96a31da47f12        couchdb1                                      1.22%               99.78MiB / 7.237GiB   1.35%               1.05MB / 1.88MB     61.4MB / 8.28MB     29
e6c3d04e54ee        orderer.example.com                           0.03%               15.09MiB / 7.237GiB   0.20%               1.34MB / 2.29MB     44.4MB / 2.8MB      10
1e4b47fe2bcf        couchdb                                       9.99%               100.1MiB / 7.237GiB   1.35%               3.16MB / 7.57MB     5.12MB / 8.26MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               99.96MiB / 2GiB       4.88%               924kB / 760kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               80.4MiB / 2GiB        3.93%               5.06MB / 5.21MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        5.68%               40.96MiB / 7.237GiB   0.55%               3.93MB / 4.2MB      49.4MB / 4.77MB     12
792281940d0d        peer0.org1.example.com                        5.91%               42.83MiB / 7.237GiB   0.58%               15.3MB / 17.5MB     4.69MB / 4.77MB     12
96a31da47f12        couchdb1                                      10.35%              99.98MiB / 7.237GiB   1.35%               1.08MB / 1.94MB     61.4MB / 8.49MB     29
e6c3d04e54ee        orderer.example.com                           0.57%               15.1MiB / 7.237GiB    0.20%               1.37MB / 2.35MB     44.4MB / 2.9MB      10
1e4b47fe2bcf        couchdb                                       6.09%               100.4MiB / 7.237GiB   1.36%               3.19MB / 7.64MB     5.12MB / 8.45MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.01%               99.84MiB / 2GiB       4.87%               945kB / 779kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.01%               86.12MiB / 2GiB       4.21%               5.11MB / 5.31MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        1.95%               40.96MiB / 7.237GiB   0.55%               4.01MB / 4.29MB     49.4MB / 4.87MB     12
792281940d0d        peer0.org1.example.com                        2.16%               42.83MiB / 7.237GiB   0.58%               15.5MB / 17.8MB     4.69MB / 4.87MB     12
96a31da47f12        couchdb1                                      0.50%               99.45MiB / 7.237GiB   1.34%               1.1MB / 1.98MB      61.4MB / 8.85MB     29
e6c3d04e54ee        orderer.example.com                           0.02%               15.1MiB / 7.237GiB    0.20%               1.39MB / 2.38MB     44.4MB / 2.96MB     10
1e4b47fe2bcf        couchdb                                       0.61%               100.2MiB / 7.237GiB   1.35%               3.22MB / 7.71MB     5.12MB / 8.81MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   2.94%               99.73MiB / 2GiB       4.87%               966kB / 797kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   4.40%               91.82MiB / 2GiB       4.48%               5.15MB / 5.42MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        4.69%               40.97MiB / 7.237GiB   0.55%               4.11MB / 4.41MB     49.4MB / 5.06MB     12
792281940d0d        peer0.org1.example.com                        7.22%               42.84MiB / 7.237GiB   0.58%               15.7MB / 18.1MB     4.72MB / 5.06MB     12
96a31da47f12        couchdb1                                      9.42%               99.64MiB / 7.237GiB   1.34%               1.12MB / 2.03MB     61.4MB / 9.24MB     29
e6c3d04e54ee        orderer.example.com                           0.31%               15.13MiB / 7.237GiB   0.20%               1.41MB / 2.45MB     44.4MB / 3.06MB     10
1e4b47fe2bcf        couchdb                                       14.35%              100.1MiB / 7.237GiB   1.35%               3.26MB / 7.79MB     5.12MB / 9.22MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               100.1MiB / 2GiB       4.89%               976kB / 807kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               94.68MiB / 2GiB       4.62%               5.17MB / 5.47MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.30%               40.97MiB / 7.237GiB   0.55%               4.19MB / 4.5MB      49.4MB / 5.23MB     12
792281940d0d        peer0.org1.example.com                        2.48%               43.18MiB / 7.237GiB   0.58%               15.8MB / 18.3MB     4.72MB / 5.23MB     12
96a31da47f12        couchdb1                                      3.05%               99.67MiB / 7.237GiB   1.35%               1.14MB / 2.07MB     61.4MB / 9.58MB     29
e6c3d04e54ee        orderer.example.com                           0.03%               15.7MiB / 7.237GiB    0.21%               1.42MB / 2.51MB     44.4MB / 3.17MB     10
1e4b47fe2bcf        couchdb                                       3.32%               100.4MiB / 7.237GiB   1.35%               3.29MB / 7.85MB     5.12MB / 9.56MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               100MiB / 2GiB         4.88%               997kB / 826kB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.01%               96.25MiB / 2GiB       4.70%               5.22MB / 5.57MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.71%               41.42MiB / 7.237GiB   0.56%               4.27MB / 4.59MB     49.4MB / 5.33MB     12
792281940d0d        peer0.org1.example.com                        2.26%               43.19MiB / 7.237GiB   0.58%               16MB / 18.7MB       4.72MB / 5.33MB     12
96a31da47f12        couchdb1                                      0.14%               99.63MiB / 7.237GiB   1.34%               1.16MB / 2.11MB     61.4MB / 9.79MB     29
e6c3d04e54ee        orderer.example.com                           0.00%               16.12MiB / 7.237GiB   0.22%               1.44MB / 2.54MB     44.4MB / 3.23MB     10
1e4b47fe2bcf        couchdb                                       0.31%               100.1MiB / 7.237GiB   1.35%               3.32MB / 7.92MB     5.12MB / 9.77MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   2.75%               99.91MiB / 2GiB       4.88%               1.02MB / 845kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   5.13%               95.88MiB / 2GiB       4.68%               5.26MB / 5.67MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        5.49%               41.43MiB / 7.237GiB   0.56%               4.37MB / 4.71MB     49.4MB / 5.52MB     12
792281940d0d        peer0.org1.example.com                        8.58%               43.26MiB / 7.237GiB   0.58%               16.3MB / 19MB       7.15MB / 5.52MB     13
96a31da47f12        couchdb1                                      9.05%               99.81MiB / 7.237GiB   1.35%               1.19MB / 2.17MB     61.4MB / 10.2MB     29
e6c3d04e54ee        orderer.example.com                           0.43%               16.13MiB / 7.237GiB   0.22%               1.46MB / 2.6MB      44.4MB / 3.33MB     10
1e4b47fe2bcf        couchdb                                       14.79%              99.95MiB / 7.237GiB   1.35%               3.36MB / 8.01MB     5.12MB / 10.1MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.01%               100.3MiB / 2GiB       4.90%               1.03MB / 854kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.70%               96.25MiB / 2GiB       4.70%               5.29MB / 5.73MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.04%               41.44MiB / 7.237GiB   0.56%               4.45MB / 4.81MB     49.4MB / 5.7MB      12
792281940d0d        peer0.org1.example.com                        2.85%               43.26MiB / 7.237GiB   0.58%               16.4MB / 19.2MB     7.15MB / 5.7MB      13
96a31da47f12        couchdb1                                      1.72%               99.82MiB / 7.237GiB   1.35%               1.21MB / 2.21MB     61.4MB / 10.5MB     29
e6c3d04e54ee        orderer.example.com                           0.00%               16.14MiB / 7.237GiB   0.22%               1.48MB / 2.67MB     44.4MB / 3.44MB     10
1e4b47fe2bcf        couchdb                                       3.87%               100.5MiB / 7.237GiB   1.36%               3.39MB / 8.07MB     5.12MB / 10.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               100.2MiB / 2GiB       4.89%               1.05MB / 873kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               94.44MiB / 2GiB       4.61%               5.33MB / 5.83MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        5.35%               41.55MiB / 7.237GiB   0.56%               4.55MB / 4.92MB     49.4MB / 5.9MB      12
792281940d0d        peer0.org1.example.com                        8.06%               43.6MiB / 7.237GiB    0.59%               16.6MB / 19.6MB     7.18MB / 5.9MB      13
96a31da47f12        couchdb1                                      9.12%               99.42MiB / 7.237GiB   1.34%               1.24MB / 2.27MB     61.4MB / 10.7MB     29
e6c3d04e54ee        orderer.example.com                           1.12%               16.14MiB / 7.237GiB   0.22%               1.5MB / 2.73MB      44.4MB / 3.55MB     10
1e4b47fe2bcf        couchdb                                       14.57%              100.1MiB / 7.237GiB   1.35%               3.42MB / 8.15MB     5.12MB / 10.7MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.01%               100.2MiB / 2GiB       4.89%               1.07MB / 891kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               94.16MiB / 2GiB       4.60%               5.37MB / 5.93MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.44%               41.58MiB / 7.237GiB   0.56%               4.63MB / 5.01MB     49.4MB / 5.98MB     12
792281940d0d        peer0.org1.example.com                        2.16%               43.61MiB / 7.237GiB   0.59%               16.8MB / 19.9MB     7.18MB / 5.98MB     13
96a31da47f12        couchdb1                                      5.36%               99.42MiB / 7.237GiB   1.34%               1.26MB / 2.31MB     61.4MB / 11.1MB     29
e6c3d04e54ee        orderer.example.com                           0.00%               16.14MiB / 7.237GiB   0.22%               1.52MB / 2.76MB     44.4MB / 3.6MB      10
1e4b47fe2bcf        couchdb                                       0.35%               99.77MiB / 7.237GiB   1.35%               3.45MB / 8.22MB     5.12MB / 11MB       29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.58%               101MiB / 2GiB         4.93%               1.09MB / 910kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.19%               93.88MiB / 2GiB       4.58%               5.41MB / 6.03MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.86%               41.59MiB / 7.237GiB   0.56%               4.73MB / 5.13MB     49.4MB / 6.17MB     12
792281940d0d        peer0.org1.example.com                        2.87%               43.74MiB / 7.237GiB   0.59%               17.1MB / 20.2MB     7.18MB / 6.17MB     13
96a31da47f12        couchdb1                                      3.57%               99.71MiB / 7.237GiB   1.35%               1.28MB / 2.36MB     61.4MB / 11.5MB     29
e6c3d04e54ee        orderer.example.com                           0.31%               16.14MiB / 7.237GiB   0.22%               1.54MB / 2.82MB     44.4MB / 3.72MB     10
1e4b47fe2bcf        couchdb                                       0.47%               99.84MiB / 7.237GiB   1.35%               3.49MB / 8.31MB     5.12MB / 11.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   2.51%               100.9MiB / 2GiB       4.93%               1.11MB / 929kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   4.49%               94.52MiB / 2GiB       4.62%               5.46MB / 6.14MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        4.73%               41.59MiB / 7.237GiB   0.56%               4.84MB / 5.25MB     49.4MB / 6.37MB     12
792281940d0d        peer0.org1.example.com                        7.78%               43.74MiB / 7.237GiB   0.59%               17.3MB / 20.6MB     7.18MB / 6.37MB     13
96a31da47f12        couchdb1                                      10.04%              99.92MiB / 7.237GiB   1.35%               1.31MB / 2.42MB     61.4MB / 11.9MB     29
e6c3d04e54ee        orderer.example.com                           0.29%               16.41MiB / 7.237GiB   0.22%               1.56MB / 2.89MB     45MB / 3.83MB       10
1e4b47fe2bcf        couchdb                                       14.54%              100.4MiB / 7.237GiB   1.35%               3.53MB / 8.39MB     5.12MB / 11.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.01%               100.3MiB / 2GiB       4.90%               1.12MB / 938kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.01%               94.38MiB / 2GiB       4.61%               5.48MB / 6.19MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        4.20%               41.64MiB / 7.237GiB   0.56%               4.92MB / 5.34MB     49.4MB / 6.55MB     12
792281940d0d        peer0.org1.example.com                        3.01%               43.74MiB / 7.237GiB   0.59%               17.4MB / 20.8MB     7.18MB / 6.55MB     13
96a31da47f12        couchdb1                                      7.83%               99.35MiB / 7.237GiB   1.34%               1.33MB / 2.46MB     61.4MB / 12.1MB     29
e6c3d04e54ee        orderer.example.com                           0.13%               16.43MiB / 7.237GiB   0.22%               1.57MB / 2.95MB     45MB / 3.94MB       10
1e4b47fe2bcf        couchdb                                       6.34%               99.96MiB / 7.237GiB   1.35%               3.56MB / 8.45MB     5.12MB / 12.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               101.2MiB / 2GiB       4.94%               1.14MB / 957kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               94.18MiB / 2GiB       4.60%               5.52MB / 6.29MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        5.57%               41.64MiB / 7.237GiB   0.56%               5.02MB / 5.46MB     49.4MB / 6.73MB     12
792281940d0d        peer0.org1.example.com                        5.80%               44.01MiB / 7.237GiB   0.59%               17.7MB / 21.1MB     7.18MB / 6.73MB     13
96a31da47f12        couchdb1                                      9.90%               99.55MiB / 7.237GiB   1.34%               1.36MB / 2.51MB     61.4MB / 12.5MB     29
e6c3d04e54ee        orderer.example.com                           0.90%               16.43MiB / 7.237GiB   0.22%               1.59MB / 3.01MB     45MB / 4.06MB       10
1e4b47fe2bcf        couchdb                                       9.92%               100.5MiB / 7.237GiB   1.36%               3.59MB / 8.53MB     5.12MB / 12.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               101.1MiB / 2GiB       4.94%               1.16MB / 976kB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.01%               94.82MiB / 2GiB       4.63%               5.57MB / 6.39MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.11%               41.64MiB / 7.237GiB   0.56%               5.1MB / 5.55MB      49.4MB / 6.83MB     12
792281940d0d        peer0.org1.example.com                        2.53%               44.01MiB / 7.237GiB   0.59%               17.9MB / 21.4MB     7.19MB / 6.83MB     13
96a31da47f12        couchdb1                                      0.40%               99.59MiB / 7.237GiB   1.34%               1.38MB / 2.55MB     61.4MB / 12.9MB     29
e6c3d04e54ee        orderer.example.com                           0.03%               16.43MiB / 7.237GiB   0.22%               1.61MB / 3.05MB     45MB / 4.1MB        10
1e4b47fe2bcf        couchdb                                       0.29%               100.2MiB / 7.237GiB   1.35%               3.63MB / 8.61MB     5.12MB / 12.9MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               56.7kB / 0B         36.2MB / 221kB      6
