CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   29.65%              80.12MiB / 2GiB       3.91%               1.46MB / 1.22MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   31.25%              98.17MiB / 2GiB       4.79%               5.89MB / 6.71MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        28.35%              42.57MiB / 7.237GiB   0.57%               6.13MB / 6.49MB     49.5MB / 7.67MB     12
792281940d0d        peer0.org1.example.com                        31.90%              44.04MiB / 7.237GiB   0.59%               19MB / 22.5MB       7.23MB / 7.67MB     13
96a31da47f12        couchdb1                                      67.23%              100.4MiB / 7.237GiB   1.35%               1.7MB / 3.09MB      63MB / 14.5MB       29
e6c3d04e54ee        orderer.example.com                           0.43%               16.99MiB / 7.237GiB   0.23%               1.84MB / 3.63MB     45MB / 4.74MB       10
1e4b47fe2bcf        couchdb                                       78.25%              101.8MiB / 7.237GiB   1.37%               3.96MB / 9.17MB     5.27MB / 14.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   29.89%              85.5MiB / 2GiB        4.17%               1.84MB / 1.56MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   30.96%              75.1MiB / 2GiB        3.67%               6.25MB / 7.02MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        30.36%              44.77MiB / 7.237GiB   0.60%               7.42MB / 7.67MB     49.5MB / 8.64MB     12
792281940d0d        peer0.org1.example.com                        31.09%              45.59MiB / 7.237GiB   0.62%               20.3MB / 23.7MB     7.29MB / 8.64MB     13
96a31da47f12        couchdb1                                      81.35%              100.9MiB / 7.237GiB   1.36%               2.08MB / 3.74MB     63MB / 15.8MB       29
e6c3d04e54ee        orderer.example.com                           2.18%               18.93MiB / 7.237GiB   0.26%               2.14MB / 4.39MB     45MB / 5.55MB       10
1e4b47fe2bcf        couchdb                                       80.40%              102.3MiB / 7.237GiB   1.38%               4.33MB / 9.8MB      5.27MB / 15.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   22.16%              90.93MiB / 2GiB       4.44%               2.25MB / 1.9MB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   22.24%              80.61MiB / 2GiB       3.94%               6.66MB / 7.36MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        30.81%              46.26MiB / 7.237GiB   0.62%               8.91MB / 9MB        50MB / 9.94MB       12
792281940d0d        peer0.org1.example.com                        29.99%              47.98MiB / 7.237GiB   0.65%               21.7MB / 25MB       7.34MB / 9.94MB     13
96a31da47f12        couchdb1                                      82.75%              102.1MiB / 7.237GiB   1.38%               2.52MB / 4.48MB     63MB / 17.2MB       29
e6c3d04e54ee        orderer.example.com                           1.44%               20.16MiB / 7.237GiB   0.27%               2.46MB / 5.4MB      45.2MB / 6.62MB     10
1e4b47fe2bcf        couchdb                                       84.07%              101.7MiB / 7.237GiB   1.37%               4.76MB / 10.5MB     5.27MB / 17.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
