USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.4
root     peer node start             peer             40690  2.4  0.7
root     peer node start             peer             40873  2.4  0.7
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.7
root     peer node start             peer             40873  2.4  0.7
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.7
root     peer node start             peer             40873  2.4  0.7
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.7
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.7
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /usr/lib/xorg/Xorg -core :0 Xorg              1471  0.6  2.4
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.8
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41465  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.8
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41153  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.9
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41153  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.9
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41153  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.9
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41153  0.7  1.3
USER     COMMAND                     COMMAND            PID %CPU %MEM
jonte    /home/jonte/SmartBear/SoapU java              6676  4.5  7.6
root     peer node start             peer             40690  2.4  0.9
root     peer node start             peer             40873  2.4  0.9
jonte    /usr/lib/firefox/firefox -c Web Content      97871  2.2  3.0
jonte    /snap/vscode/64/usr/share/c code              4188  1.6  4.1
jonte    /usr/lib/firefox/firefox -c Web Content      58806  0.9  3.0
root     /opt/couchdb/bin/../erts-6. beam.smp         41153  0.7  1.3
