CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.00%               114.3MiB / 2GiB       5.58%               31.8MB / 26.8MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.00%               97.33MiB / 2GiB       4.75%               36.1MB / 32.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        2.63%               36.18MiB / 7.237GiB   0.49%               111MB / 99.8MB      53.9MB / 86.8MB     14
792281940d0d        peer0.org1.example.com                        3.84%               37.18MiB / 7.237GiB   0.50%               124MB / 116MB       11.5MB / 86.8MB     15
96a31da47f12        couchdb1                                      0.52%               109.5MiB / 7.237GiB   1.48%               34MB / 57.8MB       63.1MB / 195MB      29
e6c3d04e54ee        orderer.example.com                           0.02%               13.42MiB / 7.237GiB   0.18%               23.1MB / 64MB       47.8MB / 69.2MB     11
1e4b47fe2bcf        couchdb                                       5.71%               109.5MiB / 7.237GiB   1.48%               36.4MB / 63.9MB     5.52MB / 195MB      29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               69.4kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   0.01%               114.3MiB / 2GiB       5.58%               31.8MB / 26.8MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   0.01%               97.27MiB / 2GiB       4.75%               36.1MB / 32.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        3.20%               36.18MiB / 7.237GiB   0.49%               111MB / 99.8MB      53.9MB / 86.8MB     14
792281940d0d        peer0.org1.example.com                        2.54%               37.18MiB / 7.237GiB   0.50%               124MB / 116MB       11.5MB / 86.8MB     15
96a31da47f12        couchdb1                                      0.17%               109.5MiB / 7.237GiB   1.48%               34MB / 57.8MB       63.1MB / 195MB      29
e6c3d04e54ee        orderer.example.com                           0.00%               13.42MiB / 7.237GiB   0.18%               23.1MB / 64MB       47.8MB / 69.2MB     11
1e4b47fe2bcf        couchdb                                       0.23%               109.5MiB / 7.237GiB   1.48%               36.4MB / 63.9MB     5.52MB / 195MB      29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               69.4kB / 0B         36.2MB / 221kB      6
